 Imunizações - Cobertura - Brasil;;;;;;;;;;;;;;;;
Coberturas Vacinais por Imuno e Ano;;;;;;;;;;;;;;;;
Período:2005-2019;;;;;;;;;;;;;;;;
Imuno;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;Total
072 BCG;114,48;113,06;111,08;108,91;108,71;106,71;107,94;105,69;107,42;107,28;105,08;95,55;97,12;97,72;52,95;102,65
099 Hepatite B  em crianças até 30 dias;...;...;...;...;...;...;...;...;-;88,54;90,93;81,75;85,2;86,73;48,33;68,79
061 Rotavírus Humano;...;46,52;79,79;81,18;85,99;83,04;87,06;86,37;93,52;93,44;95,35;88,98;84,65;89,76;52,47;81,96
053 Meningococo C;-;-;-;-;-;26,88;105,66;96,18;99,7;96,36;98,19;91,68;87,04;87,5;53,66;64,97
073 Hepatite B;98,46;100,3;99,89;96,06;100,2;96,08;97,71;96,67;100,56;96,42;97,74;105,19;86,29;92,91;55,93;94,69
080 Penta;...;...;...;...;...;...;...;24,89;95,89;94,85;96,3;89,27;83,78;87,1;49,73;77,8
012 Pneumocócica;...;...;...;...;...;24,02;81,65;88,39;93,57;93,45;94,23;95;91,56;93,43;54,43;81,04
074 Poliomielite;105,12;105,25;105,43;100,18;103,66;99,35;101,33;96,55;100,71;96,76;98,29;84,43;84,27;88,17;51,54;94,72
100 Poliomielite 4 anos;...;...;...;...;...;...;...;...;...;...;...;...;0,62;0,47;0,19;0,43
006 Febre Amarela;42,95;46,17;49,23;47,09;49,69;49,25;48,95;49,31;51,5;46,86;46,31;44,59;46,46;58,4;39,91;47,74
096 Hepatite A;...;...;...;...;...;...;...;...;-;60,13;97,07;71,58;83,05;82,16;52,09;63,73
091 Pneumocócica(1º ref);...;...;...;...;...;...;...;...;93,11;87,95;88,35;84,1;79,66;80,02;50,5;80,51
092 Meningococo C (1º ref);...;...;...;...;...;...;...;...;92,35;88,55;87,85;93,86;82,13;79,72;55,16;82,82
093 Poliomielite(1º ref);...;...;...;...;...;...;...;...;92,92;86,31;84,52;74,36;78,06;71,9;45,89;76,27
021 Tríplice Viral  D1;106,55;105,35;106,8;99,81;103,74;99,93;102,39;99,5;107,46;112,8;96,07;95,41;90,85;91,89;57,19;98,38
098 Tríplice Viral  D2;...;...;...;...;...;...;...;...;68,87;92,88;79,94;76,71;76,45;76,49;48,37;74,23
097 Tetra Viral(SRC+VZ);...;...;...;...;...;...;...;...;34,19;90,19;77,37;79,04;36,86;32,46;22,46;53,27
075 DTP;102,82;103,5;103,25;97,98;101,71;98,01;99,61;93,81;97,85;95,48;96,9;89,53;84,02;87,31;49,86;93,44
102 DTP REF (4 e 6 anos);...;...;...;...;...;...;...;...;...;2,41;...;2,73;2,81;1,93;1;3,31
095 Tríplice Bacteriana(DTP)(1º ref);...;...;...;...;...;...;...;...;90,96;86,36;85,78;64,28;74,29;67,49;38,7;72,52
094 Dupla adulto e tríplice acelular gestante;...;...;...;...;...;...;...;...;50,73;43,5;45,57;31,53;34,56;47,02;30,73;40,48
003 dTpa gestante;...;...;...;...;...;...;...;...;2,8;9,34;44,97;33,81;42,36;63,06;41,97;33,97
Total;85,1;81,14;86,21;83,18;87,09;76,98;92,48;83,73;73,99;76,76;85,61;72,16;76,7;79,67;49,46;76,64
 Fonte: Programa Nacional de Imunizações;;;;;;;;;;;;;;;;
 Notas:;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Data de atualização dos dados: 04/09/2019;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
Os dados apresentados em 2013 se referem à soma dos seguintes dados:;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Até Junho de 2013: dados do API DOS;;;;;;;;;;;;;;;;
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada);;;;;;;;;;;;;;;;
Base de dados do ano de 2013 foi encerrada em 23/03/2015.;;;;;;;;;;;;;;;;
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
2014:00:00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.;;;;;;;;;;;;;;;;
